year,month,job_title,industry,experience_level,salary_min,salary_max,salary_median,number_of_openings,demand_index,hiring_trend,city,state,education_requirement,job_type,skills_required,remote_availability,salary_range,salary_variability,salary_bracket,salary_log_median,quarter,month_name,season,is_high_demand,openings_level,experience_numeric,remote_flag,metro_city,cost_region,job_title_encoded,industry_encoded,city_encoded,state_encoded,education_requirement_encoded,job_type_encoded,skills_required_encoded,hiring_trend_encoded,season_encoded,city_salary_adjusted_index,job_market_pressure,competitiveness_score,seasonal_hiring_score
2025,11,Data Scientist,It,Entry,623652.0,929262.0,776457,21,57,Stable,Mumbai,Maharashtra,Master's,Part-time,"Python,ML,Statistics",No,305610.0,0.39359552428531136,Medium,13.562497831247752,4,Nov,Autumn,0,High,1,0,1,High,4,6,9,6,3,2,7,1,0,931748.4,0.3620689655172414,38.47586206896551,4
2025,5,Nurse,Healthcare,Senior,412269.0,674469.0,543369,7,62,Up,Hyderabad,Telangana,Master's,Full-time,"Patient Care,First Aid",Yes,262200.0,0.4825450108489811,Medium,13.205545766500425,2,May,Summer,1,Medium,3,1,1,Medium,9,4,5,9,3,1,5,2,2,543369.0,0.1111111111111111,59.977777777777774,2
2025,12,Data Scientist,It,Entry,380863.0,800599.0,590731,15,56,Stable,Jaipur,Rajasthan,Bachelor's,Part-time,"Python,ML,Statistics",Yes,419736.0,0.71053660634028,Medium,13.289117724843088,4,Dec,Winter,0,Medium,1,1,0,Low,4,6,6,7,0,2,7,1,3,502121.35,0.2631578947368421,46.07368421052632,1
2025,9,Data Scientist,It,Entry,497270.0,1237076.0,867173,4,54,Stable,Noida,Uttar Pradesh,Bachelor's,Contract,"Python,ML,Statistics",No,739806.0,0.8531238864678674,Medium,13.672994927668247,3,Sep,Monsoon,0,Low,1,0,1,High,4,6,11,10,0,0,7,1,1,1040607.6,0.07272727272727272,37.25454545454545,3
2025,1,Software Engineer,It,Entry,459868.0,878530.0,669199,25,45,Stable,Bengaluru,Karnataka,Bachelor's,Full-time,"Python,Java,SQL",No,418662.0,0.6256165953625155,Medium,13.413838248094805,1,Jan,Winter,0,High,1,0,1,High,12,6,1,3,0,1,6,1,3,803038.7999999999,0.5434782608695652,30.91304347826087,1
2025,4,Ux Designer,Design/It,Mid,709910.0,1692210.0,1201060,15,50,Stable,Noida,Uttar Pradesh,Bachelor's,Full-time,"Figma,User Research",No,982300.0,0.8178608895475663,High,13.998715890779794,2,Apr,Summer,0,Medium,2,0,1,High,14,1,11,10,0,1,4,1,2,1441272.0,0.29411764705882354,39.411764705882355,2
2025,9,Nurse,Healthcare,Mid,178941.0,383743.0,281342,19,77,Up,Lucknow,Uttar Pradesh,Bachelor's,Part-time,"Patient Care,First Aid",No,204802.0,0.7279467694123167,Low,12.54732984450926,3,Sep,Monsoon,1,Medium,2,0,0,Low,9,4,8,10,0,2,5,2,1,239140.69999999998,0.24358974358974358,55.71282051282051,3
2025,12,Ux Designer,Design/It,Senior,1373534.0,1948568.0,1661051,10,53,Stable,Kolkata,West Bengal,Bachelor's,Full-time,"Figma,User Research",No,575034.0,0.34618684194525035,High,14.322961694547297,4,Dec,Winter,0,Medium,3,0,1,Medium,14,1,7,11,0,1,4,1,3,1661051.0,0.18518518518518517,46.42962962962962,1
2025,8,Hr Manager,Hr,Entry,341992.0,464674.0,403333,22,56,Stable,Chennai,Tamil Nadu,Bachelor's,Full-time,"Recruitment,Labour Laws",No,122682.0,0.3041704993144622,Medium,12.90752028179601,3,Aug,Monsoon,0,High,1,0,1,Medium,6,5,3,8,0,1,8,1,1,403333.0,0.38596491228070173,37.8280701754386,3
2025,3,Business Analyst,It/Business,Senior,953544.0,2461328.0,1707436,2,76,Up,Kolkata,West Bengal,Bachelor's,Contract,"SQL,Modelling,Requirements",No,1507784.0,0.8830691164998278,High,14.350503973699555,1,Mar,Summer,1,Low,3,0,1,Medium,1,7,7,11,0,0,11,2,2,1707436.0,0.025974025974025976,60.54805194805195,2
2025,5,Accountant,Finance,Mid,488851.0,723379.0,606115,25,86,Up,Hyderabad,Telangana,Diploma,Contract,"Tally,Excel,GST",Yes,234528.0,0.38693647245159746,Medium,13.314826665875058,2,May,Summer,1,High,2,1,1,Medium,0,3,5,9,1,0,14,2,2,606115.0,0.28735632183908044,69.02528735632184,2
